ranch_no,ranch_sub,var_cd,variety_desc,grafted,acres,year_planted_grafted
3,,300,ALLISON - SHEEGENE 20,TRUE,72.8,2019
14,,300,ALLISON - SHEEGENE 20,TRUE,7.5,2017
14,,300,ALLISON - SHEEGENE 20,TRUE,36.8,2020
16,N,300,ALLISON - SHEEGENE 20,TRUE,21,2019
17,N,300,ALLISON - SHEEGENE 20,TRUE,76,2017
17,S,300,ALLISON - SHEEGENE 20,TRUE,37,2021
20,N,300,ALLISON - SHEEGENE 20,TRUE,75.1,2017
32,WW,405,ARD 35 - FIRE CRUNCH,FALSE,11,2021
32,WW,405,ARD 35 - FIRE CRUNCH,FALSE,20,2022
35,,405,ARD 35 - FIRE CRUNCH,FALSE,2,2021
16,N,412,ARD 36 - CHERRY CRUSH,TRUE,19.8,2021
16,N,412,ARD 36 - CHERRY CRUSH,TRUE,55.4,2022
32,W,412,ARD 36 - CHERRY CRUSH,FALSE,10,2018
32,W,412,ARD 36 - CHERRY CRUSH,FALSE,20,2021
32,W,412,ARD 36 - CHERRY CRUSH,FALSE,38,2022
32,NW,411,ARD 39 - SUNNY POP,TRUE,1.5,2019
1,,178,ARRA 15 - SWEETIES,TRUE,36,2009
20,NN,178,ARRA 15 - SWEETIES,TRUE,52,2017
20,NN,178,ARRA 15 - SWEETIES,TRUE,69,2018
20,NN,178,ARRA 15 - SWEETIES,TRUE,105.9,2020
29,NW,178,ARRA 15 - SWEETIES,TRUE,74,2011
30,W,178,ARRA 15 - SWEETIES,TRUE,19,2011
30,W,178,ARRA 15 - SWEETIES,TRUE,38,2012
32,WW,178,ARRA 15 - SWEETIES,TRUE,80,2009
32,WW,178,ARRA 15 - SWEETIES,TRUE,120,2016
14,,16,ARRA 16,TRUE,8,2017
14,,16,ARRA 16,TRUE,18,2018
29,NW,16,ARRA 16,TRUE,76,2012
10,,757,ARRA 27 - ARRA MYSTIC STAR,TRUE,18.9,2017
10,,757,ARRA 27 - ARRA MYSTIC STAR,TRUE,37.7,2018
