prod_wk,ranch_no,ranch_sub,var_cd,variety_desc,var_boxes,color,prod_date_cnt,prod_wk_no,prod_yr,min_date,max_date
7/13/2015,1,,178,ARRA 15 - SWEETIES,3905,GREEN,4,29,2015,7/15/2015,7/18/2015
7/20/2015,1,,178,ARRA 15 - SWEETIES,1075,GREEN,1,30,2015,7/21/2015,7/21/2015
7/27/2015,1,,178,ARRA 15 - SWEETIES,2047,GREEN,2,31,2015,7/31/2015,8/1/2015
8/3/2015,1,,178,ARRA 15 - SWEETIES,6121,GREEN,5,32,2015,8/3/2015,8/7/2015
8/10/2015,1,,178,ARRA 15 - SWEETIES,724,GREEN,1,33,2015,8/15/2015,8/15/2015
8/17/2015,1,,178,ARRA 15 - SWEETIES,1873,GREEN,3,34,2015,8/17/2015,8/19/2015
7/25/2016,1,,178,ARRA 15 - SWEETIES,8118,GREEN,6,30,2016,7/25/2016,7/30/2016
8/1/2016,1,,178,ARRA 15 - SWEETIES,8314,GREEN,6,31,2016,8/1/2016,8/6/2016
8/8/2016,1,,178,ARRA 15 - SWEETIES,5628,GREEN,4,32,2016,8/8/2016,8/11/2016
8/15/2016,1,,178,ARRA 15 - SWEETIES,1629,GREEN,4,33,2016,8/17/2016,8/20/2016
8/22/2016,1,,178,ARRA 15 - SWEETIES,1736,GREEN,4,34,2016,8/22/2016,8/25/2016
7/31/2017,1,,178,ARRA 15 - SWEETIES,980,GREEN,3,31,2017,8/3/2017,8/5/2017
8/7/2017,1,,178,ARRA 15 - SWEETIES,3415,GREEN,6,32,2017,8/7/2017,8/12/2017
8/14/2017,1,,178,ARRA 15 - SWEETIES,3138,GREEN,6,33,2017,8/14/2017,8/19/2017
8/21/2017,1,,178,ARRA 15 - SWEETIES,6687,GREEN,6,34,2017,8/21/2017,8/26/2017
8/28/2017,1,,178,ARRA 15 - SWEETIES,3380,GREEN,6,35,2017,8/28/2017,9/2/2017
9/4/2017,1,,178,ARRA 15 - SWEETIES,2334,GREEN,5,36,2017,9/5/2017,9/9/2017
9/11/2017,1,,178,ARRA 15 - SWEETIES,191,GREEN,1,37,2017,9/11/2017,9/11/2017
8/6/2018,1,  ,178,ARRA 15 - SWEETIES,3552,GREEN,4,32,2018,8/8/2018,8/11/2018
8/13/2018,1,  ,178,ARRA 15 - SWEETIES,6465,GREEN,6,33,2018,8/13/2018,8/18/2018
8/20/2018,1,  ,178,ARRA 15 - SWEETIES,7837,GREEN,6,34,2018,8/20/2018,8/25/2018
8/27/2018,1,  ,178,ARRA 15 - SWEETIES,7644,GREEN,6,35,2018,8/27/2018,9/1/2018
9/3/2018,1,  ,178,ARRA 15 - SWEETIES,3173,GREEN,3,36,2018,9/4/2018,9/6/2018
8/12/2019,1,,178,ARRA 15 - SWEETIES,3354,GREEN,4,33,2019,8/14/2019,8/17/2019
8/19/2019,1,,178,ARRA 15 - SWEETIES,6284,GREEN,6,34,2019,8/19/2019,8/24/2019
8/26/2019,1,,178,ARRA 15 - SWEETIES,5680,GREEN,6,35,2019,8/26/2019,8/31/2019
9/2/2019,1,,178,ARRA 15 - SWEETIES,3414,GREEN,5,36,2019,9/3/2019,9/7/2019
8/3/2015,2,,95,SCARLET ROYAL,2139,RED,5,32,2015,8/3/2015,8/7/2015
8/17/2015,2,,95,SCARLET ROYAL,1771,RED,5,34,2015,8/18/2015,8/22/2015
8/24/2015,2,,95,SCARLET ROYAL,110,RED,1,35,2015,8/24/2015,8/24/2015
9/14/2015,2,,84,CRIMSON SEEDLESS,271,RED,1,38,2015,9/19/2015,9/19/2015
9/21/2015,2,,84,CRIMSON SEEDLESS,1379,RED,4,39,2015,9/21/2015,9/24/2015
10/19/2015,2,,84,CRIMSON SEEDLESS,742,RED,3,43,2015,10/22/2015,10/24/2015
10/26/2015,2,,84,CRIMSON SEEDLESS,1365,RED,5,44,2015,10/26/2015,10/30/2015
11/9/2015,2,,84,CRIMSON SEEDLESS,178,RED,1,46,2015,11/14/2015,11/14/2015
11/16/2015,2,,84,CRIMSON SEEDLESS,1035,RED,5,47,2015,11/16/2015,11/20/2015
8/1/2016,2,,95,SCARLET ROYAL,2621,RED,3,31,2016,8/4/2016,8/6/2016
8/8/2016,2,,95,SCARLET ROYAL,941,RED,1,32,2016,8/8/2016,8/8/2016
8/15/2016,2,,95,SCARLET ROYAL,4093,RED,4,33,2016,8/17/2016,8/20/2016
8/22/2016,2,,95,SCARLET ROYAL,4556,RED,4,34,2016,8/22/2016,8/25/2016
8/29/2016,2,,95,SCARLET ROYAL,1015,RED,1,35,2016,9/2/2016,9/2/2016
9/5/2016,2,,95,SCARLET ROYAL,1943,RED,2,36,2016,9/6/2016,9/7/2016
10/17/2016,2,,84,CRIMSON SEEDLESS,1784,RED,4,42,2016,10/19/2016,10/22/2016
10/24/2016,2,,84,CRIMSON SEEDLESS,2684,RED,5,43,2016,10/24/2016,10/29/2016
