Date,Daily_High,Daily _Low,Precipitation ,,
1/1/2015,54,28,0,,
1/2/2015,54,30,0,,
1/3/2015,55,31,0,,
1/4/2015,58,31,0,,
1/5/2015,59,33,0,,
1/6/2015,64,37,0,,
1/7/2015,65,39,0,,
1/8/2015,69,44,0,,
1/9/2015,67,48,0,,
1/10/2015,63,48,0.01,,
1/11/2015,58,49,0.63,,
1/12/2015,60,44,0,,
1/13/2015,62,44,0,,
1/14/2015,66,43,0,,
1/15/2015,59,44,0,,
1/16/2015,61,43,0,,
1/17/2015,52,41,0,,
1/18/2015,54,45,0,,
1/19/2015,49,44,0,,
1/20/2015,50,46,0,,
1/21/2015,51,47,0,,
1/22/2015,57,39,0,,
1/23/2015,56,39,0,,
1/24/2015,49,36,0,,
1/25/2015,56,40,0,,
1/26/2015,61,39,0.01,,
1/27/2015,67,49,0.04,,
1/28/2015,60,47,0,,
1/29/2015,65,51,0,,
1/30/2015,63,47,0,,
1/31/2015,65,44,0,,
2/1/2015,72,44,0,,
2/2/2015,70,44,0,,
2/3/2015,71,43,0,,
2/4/2015,79,42,0,,
2/5/2015,83,46,0,,
2/6/2015,85,50,0,,
2/7/2015,64,56,0.07,,
2/8/2015,82,50,0,,
2/9/2015,71,53,0,,
2/10/2015,66,45,0,,
2/11/2015,67,43,0,,
2/12/2015,77,44,0,,
2/13/2015,79,45,0,,
2/14/2015,76,49,0,,
2/15/2015,79,47,0,,
2/16/2015,80,49,0,,
2/17/2015,78,49,0,,
2/18/2015,70,50,0,,
2/19/2015,72,47,0,,
2/20/2015,62,44,0,,
2/21/2015,63,47,0,,
2/22/2015,65,45,0.52,,
2/23/2015,66,47,0.16,,
2/24/2015,64,42,0,,
2/25/2015,67,41,0,,
2/26/2015,67,43,0,,
2/27/2015,68,44,0,,
2/28/2015,62,47,0.15,,
3/1/2015,61,43,0.06,,
3/2/2015,62,46,0.21,,
3/3/2015,63,45,0,,
3/4/2015,69,42,0,,
3/5/2015,73,44,0,,
3/6/2015,71,42,0,,
3/7/2015,78,45,0,,
3/8/2015,79,46,0,,
3/9/2015,80,48,0,,
3/10/2015,87,49,0,,
3/11/2015,71,51,0,,
3/12/2015,69,50,0,,
3/13/2015,86,47,0,,
3/14/2015,91,52,0,,
3/15/2015,92,60,0,,
3/16/2015,80,55,0,,
3/17/2015,72,56,0,,
3/18/2015,74,57,0,,
3/19/2015,81,54,0,,
3/20/2015,85,52,0,,
3/21/2015,79,51,0,,
3/22/2015,78,51,0,,
3/23/2015,73,51,0,,
3/24/2015,71,46,0,,
3/25/2015,78,50,0,,
3/26/2015,90,53,0,,
3/27/2015,93,55,0,,
3/28/2015,83,56,0,,
3/29/2015,86,58,0,,
3/30/2015,90,54,0,,
3/31/2015,79,54,0,,
4/1/2015,73,46,0,,
4/2/2015,72,45,0,,
4/3/2015,80,48,0,,
4/4/2015,79,50,0,,
4/5/2015,73,46,0,,
4/6/2015,67,50,0,,
4/7/2015,67,47,0.06,,
4/8/2015,66,44,0,,
4/9/2015,70,44,0,,
4/10/2015,77,46,0,,
4/11/2015,79,50,0,,
4/12/2015,82,52,0,,
4/13/2015,90,53,0,,
4/14/2015,70,50,0,,
4/15/2015,75,43,0,,
4/16/2015,84,47,0,,
4/17/2015,85,54,0,,
4/18/2015,88,54,0,,
4/19/2015,90,58,0,,
4/20/2015,88,58,0,,
4/21/2015,78,58,0,,
4/22/2015,77,55,0,,
4/23/2015,80,55,0,,
4/24/2015,76,56,0,,
4/25/2015,71,52,0.02,,
4/26/2015,75,48,0,,
4/27/2015,89,56,0,,
4/28/2015,94,59,0,,
4/29/2015,92,63,0,,
4/30/2015,90,64,0,,
5/1/2015,96,67,0,,
5/2/2015,94,59,0,,
5/3/2015,90,58,0,,
5/4/2015,85,55,0,,
5/5/2015,83,56,0,,
5/6/2015,79,55,0,,
5/7/2015,71,55,0,,
5/8/2015,69,53,0,,
5/9/2015,77,56,0,,
5/10/2015,88,57,0,,
5/11/2015,85,59,0,,
5/12/2015,78,53,0,,
5/13/2015,75,51,0,,
5/14/2015,72,52,0.26,,
5/15/2015,69,53,0,,
5/16/2015,78,51,0,,
5/17/2015,77,56,0,,
5/18/2015,78,55,0,,
5/19/2015,79,55,0,,
5/20/2015,82,59,0,,
5/21/2015,71,57,0,,
5/22/2015,69,55,0.3,,
5/23/2015,80,59,0.12,,
5/24/2015,81,58,0,,
5/25/2015,87,60,0,,
5/26/2015,84,62,0,,
5/27/2015,88,61,0,,
5/28/2015,90,62,0,,
5/29/2015,95,62,0,,
5/30/2015,100,67,0,,
5/31/2015,99,67,0,,
6/1/2015,88,58,0,,
6/2/2015,87,60,0,,
6/3/2015,89,63,0,,
6/4/2015,85,59,0,,
6/5/2015,88,61,0,,
6/6/2015,93,66,0,,
6/7/2015,98,68,0,,
6/8/2015,106,72,0,,
6/9/2015,88,73,0,,
6/10/2015,94,69,0,,
6/11/2015,92,68,0,,
6/12/2015,97,73,0,,
6/13/2015,105,76,0,,
6/14/2015,103,73,0,,
6/15/2015,102,68,0,,
6/16/2015,100,68,0,,
6/17/2015,102,68,0,,
6/18/2015,104,69,0,,
6/19/2015,96,67,0,,
6/20/2015,102,68,0,,
6/21/2015,100,67,0,,
6/22/2015,95,65,0,,
6/23/2015,98,66,0,,
6/24/2015,98,70,0,,
6/25/2015,104,74,0,,
6/26/2015,106,78,0,,
6/27/2015,101,75,0,,
6/28/2015,98,77,0,,
6/29/2015,97,74,0,,
6/30/2015,106,80,0,,
7/1/2015,102,83,0,,
7/2/2015,103,81,0,,
7/3/2015,102,75,0,,
7/4/2015,102,76,0,,
7/5/2015,100,76,0,,
7/6/2015,95,73,0,,
7/7/2015,94,70,0,,
7/8/2015,93,69,0,,
7/9/2015,86,66,0,,
7/10/2015,87,64,0,,
7/11/2015,91,65,0,,
7/12/2015,93,69,0,,
7/13/2015,94,68,0,,
7/14/2015,96,69,0,,
7/15/2015,97,70,0,,
7/16/2015,98,70,0,,
7/17/2015,103,73,0,,
7/18/2015,97,73,0.03,,
7/19/2015,92,73,0.01,,
7/20/2015,94,76,0,,
7/21/2015,99,77,0,,
7/22/2015,96,76,0,,
7/23/2015,94,70,0,,
7/24/2015,95,65,0,,
7/25/2015,97,68,0,,
7/26/2015,97,69,0,,
7/27/2015,94,69,0,,
7/28/2015,99,72,0,,
7/29/2015,107,73,0,,
7/30/2015,99,80,0,,
7/31/2015,105,80,0,,
8/1/2015,102,76,0,,
8/2/2015,99,74,0,,
8/3/2015,98,70,0,,
8/4/2015,91,68,0,,
8/5/2015,87,64,0,,
8/6/2015,93,72,0,,
8/7/2015,96,70,0,,
8/8/2015,95,69,0,,
8/9/2015,97,70,0,93.85714286,
8/10/2015,96,72,0,,
8/11/2015,93,68,0,,
8/12/2015,94,67,0,,
8/13/2015,96,67,0,,
8/14/2015,93,68,0,,
8/15/2015,98,68,0,,
8/16/2015,105,76,0,,
8/17/2015,109,76,0,,
8/18/2015,105,76,0,,
8/19/2015,101,72,0,,
8/20/2015,99,69,0,,
8/21/2015,97,68,0,,
8/22/2015,98,70,0,,
8/23/2015,98,69,0,,
8/24/2015,98,71,0,,
8/25/2015,99,70,0,,
8/26/2015,101,73,0,,
8/27/2015,100,73,0,,
8/28/2015,104,75,0,,
8/29/2015,98,74,0,,
8/30/2015,88,69,0,,
8/31/2015,91,65,0,,
9/1/2015,96,68,0,,
9/2/2015,92,66,0,,
9/3/2015,87,66,0,,
9/4/2015,87,62,0,,
9/5/2015,85,61,0,,
9/6/2015,90,61,0,,
9/7/2015,96,65,0,,
9/8/2015,98,68,0,,
9/9/2015,102,74,0,,
9/10/2015,104,75,0,,
9/11/2015,101,78,0,,
9/12/2015,101,75,0,,
9/13/2015,101,70,0,,
9/14/2015,91,71,0,,
9/15/2015,87,68,0,,
9/16/2015,79,59,0,,
9/17/2015,81,57,0,,
9/18/2015,86,60,0,,
9/19/2015,93,63,0,,
9/20/2015,98,68,0,,
9/21/2015,101,71,0,,
9/22/2015,100,73,0,,
9/23/2015,91,67,0,,
9/24/2015,94,64,0,,
9/25/2015,99,70,0,,
9/26/2015,95,71,0,,
9/27/2015,96,68,0,,
9/28/2015,96,70,0,,
9/29/2015,91,66,0,,
9/30/2015,86,63,0,,
10/1/2015,85,63,0,,
10/2/2015,81,59,0,,
10/3/2015,89,61,0,,
10/4/2015,72,58,0,,
10/5/2015,81,57,0,,
10/6/2015,84,61,0,,
10/7/2015,86,62,0,,
10/8/2015,92,65,0,,
10/9/2015,92,65,0,,
10/10/2015,100,67,0,,
10/11/2015,91,67,0,,
10/12/2015,94,68,0,,
10/13/2015,95,70,0,,
10/14/2015,89,72,0.08,,
10/15/2015,83,67,0.06,,
10/16/2015,87,64,0,,
10/17/2015,86,66,0,,
10/18/2015,74,62,0,,
10/19/2015,75,58,0,,
10/20/2015,76,56,0,,
10/21/2015,82,57,0,,
10/22/2015,87,57,0,,
10/23/2015,86,58,0,,
10/24/2015,85,57,0,,
10/25/2015,81,62,0,,
10/26/2015,86,56,0,,
10/27/2015,83,57,0,,
10/28/2015,78,60,0,,
10/29/2015,72,55,0,,
10/30/2015,76,54,0,,
10/31/2015,83,50,0,,
11/1/2015,85,54,0,,
11/2/2015,72,52,0.26,,
11/3/2015,60,49,0.01,,66.57142857
11/4/2015,62,47,0,,
11/5/2015,66,44,0,,
11/6/2015,67,41,0,,
11/7/2015,72,43,0,,
11/8/2015,74,43,0,,
11/9/2015,65,49,0.04,,
11/10/2015,59,44,0,,
11/11/2015,62,44,0,,
11/12/2015,62,39,0,,
11/13/2015,66,40,0,,
11/14/2015,72,41,0,,
11/15/2015,61,42,0.24,,
11/16/2015,55,38,0.01,,
11/17/2015,59,38,0,,
11/18/2015,61,37,0,,
11/19/2015,66,39,0,,
11/20/2015,68,42,0,,
11/21/2015,73,43,0,,
11/22/2015,77,43,0,,
11/23/2015,82,46,0,,
11/24/2015,65,44,0.04,,
11/25/2015,55,42,0.01,,
11/26/2015,54,37,0,,
11/27/2015,53,35,0,,
11/28/2015,58,37,0,,
11/29/2015,58,33,0,,
11/30/2015,61,32,0,,
12/1/2015,58,34,0,,
12/2/2015,63,36,0,,
12/3/2015,73,39,0,,
12/4/2015,63,44,0,,
12/5/2015,62,38,0,,
12/6/2015,67,38,0,,
12/7/2015,66,41,0,,
12/8/2015,66,43,0,,
12/9/2015,60,44,0,,
12/10/2015,66,41,0,,
12/11/2015,56,44,0.03,,
12/12/2015,58,41,0,,
12/13/2015,61,38,0.16,,
12/14/2015,52,37,0,,
12/15/2015,50,33,0,,
12/16/2015,53,32,0,,
12/17/2015,57,32,0,,
12/18/2015,61,34,0,,
12/19/2015,59,35,0.24,,
12/20/2015,53,42,0,,
12/21/2015,62,38,0,,
12/22/2015,66,53,0.1,,
12/23/2015,55,42,0,,
12/24/2015,57,38,0.05,,
12/25/2015,51,36,0,,
12/26/2015,50,33,0,,
12/27/2015,54,29,0,,
12/28/2015,45,31,0,,
